company,brand,trim_name,area_name,composite_name,version_year,sales_geo_area,market_segment,generation_year,model_code,type_name,output_power_kw,output_power_hp,type_code,energy_type,power_transoutput_type,emission_standard,co2_emission_from_gkm,voltage_type,front_brake_detail,front_brake_outer_diameter,front_brake_name,rear_brake_detail,rear_brake_outer_diameter,rear_brake_name,end_of_production_to,start_of_sales_from,end_of_sales_to,sales_horse_power_hp,capacity_i,co2_emission_to_gkm,start_of_production_from,gross_vehicle_weight,power_train_type,power_transmission_type,brake_disc_thickness,brake_name,brake_system_type,transmission,trim_url,model_url,product_group_url
Yamaha Motor,Yamaha,Motocross,,YZ250SP,,,,,,YZ250SP,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,249.0,,,103,PWK38S,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250sp,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ250,,,,,,YZ250,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,249.0,,,103,PWK38S,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ250F,,,,,,YZ250F,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,250.0,,,105,Fuel Injection,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250f,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ85LW,,,,,,YZ85LW,,,,,,,,,Hydraulic single disc,220mm,,Hydraulic single disc,190mm,,,,,,85.0,,,75,PWK28,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz85lw,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Enduro,,YZ250X,,,,,,YZ250X,,,,,,,,,Hydraulic single disc,270 mm,,Hydraulic single disc,240 mm,,,,,,249.0,,,104,PWK38S Keihin,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz250x,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ65,,,,,,YZ65,,,,,,,,,Hydraulic single disc,198mm,,Hydraulic single disc,190mm,,,,,,64.8,,,60.8,Keihin Carburettor,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz65,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Fun,,TT-R230,,,,,,TT-R230,,,,,,,,,Hydraulic single disc,220mm,,Drum,,,,,,,223.0,,,114,Y26P x 1,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/tt-r230,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Agriculture,,AG125,,,,,,AG125,,,,,,,,,Drum,,,Drum,,,,,,,124.0,,,113,Carburetter,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/ag125,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ450FSP,,,,,,YZ450FSP,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,450.0,,,109,Fuel Injection,Chain,,,,"Constant mesh, 5-speed",https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz450fsp,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Enduro,,YZ250FX,,,,,,YZ250FX,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,245mm,,,,,,250.0,,,111,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz250fx,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ250FSP,,,,,,YZ250FSP,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,250.0,,,105,Fuel Injection,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250fsp,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Enduro,,YZ125X,,,,,,YZ125X,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,125.0,,,96,PWK38S,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz125x,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Sport Heritage,,XSR700,,,,,,XSR700,,,,,,,,,Hydraulic dual discs,282mm,,Hydraulic single disc,245mm,,,,,,655.0,,,186,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage/xsr700,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Motocross,,YZ450F,,,,,,YZ450F,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,450.0,,,109,Fuel Injection,Chain,,,,"Constant mesh, 5-speed",https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz450f,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Scooter,,NMAX 155,,,,,,NMAX 155,,,,,,,,,Hydraulic single disc,,,Hydraulic single disc,,,,,,,155.0,,,127,Fuel Injection,Gear,,,,V-Belt Automatic,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/nmax-155,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Scooter,,D'elight 125,,,,,,D'elight 125,,,,,,,,,Hydraulic single disc,180mm,,Drum,,,,,,,125.0,,,101,Fuel Injection,Gear,,,,V-Belt Automatic,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/d'elight-125,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Maximum Torque,,MT-03,,,,,,MT-03,,,,,,,,,Hydraulic single disc,298mm,,Hydraulic single disc,220mm,,,,,,321.0,,,168,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-03,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Scooter,,TMAX 560,,,,,,TMAX 560,,,,,,,,,Hydraulic dual discs,267mm,,Hydraulic single disc,282mm,,,,,,562.0,,,220,Fuel Injection,Belt,,,,V-Belt Automatic,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tmax-560,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Adventure,,Ténéré 700,,,,,,Ténéré 700,,,,,,,,,Hydraulic dual discs,282mm,,Hydraulic single disc,245mm,,,,,,689.0,,,206,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure/ténéré-700,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Adventure,,Ténéré 700 World Raid,,,,,,Ténéré 700 World Raid,,,,,,,,,Hydraulic dual discs,282mm,,Hydraulic single disc,245mm,,,,,,689.0,,,220,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure/ténéré-700-world-raid,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Agriculture,,AG200F,,,,,,AG200F,,,,,,,,,Drum,,,Drum,,,,,,,196.0,,,128,BS26,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/ag200f,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Sport Heritage,,XSR900,,,,,,XSR900,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,889.0,,,193,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage/xsr900,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Adventure,,Super Ténéré,,,,,,Super Ténéré,,,,,,,,,Hydraulic dual discs,310mm,,Hydraulic single disc,282mm,,,,,,1199.0,,,265,Fuel Injection,Shaft drive with hypoid gear design,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure/super-ténéré,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Scooter,,XMAX 300,,,,,,XMAX 300,,,,,,,,,Hydraulic single disc,267mm,,Hydraulic single disc,245mm,,,,,,292.0,,,181,Fuel Injection,Belt,,,,V-Belt Automatic,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/xmax-300,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Fun,,PW50,,,,,,PW50,,,,,,,,,Drum,,,Drum,,,,,,,49.0,,,41,VM12,Shaft,,,,Automatic,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/pw50,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Scooter,,Tricity 155,,,,,,Tricity 155,,,,,,,,,Hydraulic dual discs,220mm,,Hydraulic single disc,230mm,,,,,,155.0,,,172,Fuel Injection,Gear,,,,V-Belt Automatic,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tricity-155,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Fun,,TT-R50E,,,,,,TT-R50E,,,,,,,,,Drum,,,Drum,,,,,,,50.0,,,57,VM11,Chain,,,,Constant mesh 3-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/tt-r50e,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Scooter,,Tricity 300,,,,,,Tricity 300,,,,,,,,,Hydraulic dual discs,267mm,,Hydraulic single disc,267mm,,,,,,292.0,,,237,Fuel Injection,Gear,,,,V-Belt Automatic,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tricity-300,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Sport Touring,,NIKEN GT,,,,,,NIKEN GT,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,282mm,,,,,,847.0,,,267,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/niken-gt,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Sport Touring,,Tracer 9 GT Plus,,,,,,Tracer 9 GT Plus,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,267mm,,,,,,890.0,,,223,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/tracer-9-gt-plus,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Sport Touring,,FJR1300AE,,,,,,FJR1300AE,,,,,,,,,Hydraulic dual discs,320 mm,,Hydraulic single disc,282 mm,,,,,,1298.0,,,292,Fuel Injection,Shaft,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/fjr1300ae,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Agriculture,,TT-R230,,,,,,TT-R230,,,,,,,,,Hydraulic single disc,220mm,,Drum,,,,,,,223.0,,,114,Y26P x 1,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/tt-r230,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Supersport,,YZF-R3,,,,,,YZF-R3,,,,,,,,,Hydraulic single disc,298mm,,Hydraulic single disc,220mm,,,,,,321.0,,,167,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r3,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Fun,,TT-R125LWE,,,,,,TT-R125LWE,,,,,,,,,Hydraulic single disc,220mm,,Drum,,,,,,,124.0,,,90,VM20 x 1,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/tt-r125lwe,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Supersport,,YZF-R1,,,,,,YZF-R1,,,,,,,,,Hydraulic dual discs,320mm,,Hydraulic single disc,220mm,,,,,,998.0,,,201,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r1,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Supersport,,YZF-R6,,,,,,YZF-R6,,,,,,,,,Hydraulic dual discs,320mm,,Hydraulic single disc,220mm,,,,,,599.0,,,185,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r6,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Sport Touring,,Tracer 7,,,,,,Tracer 7,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,689.0,,,197,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/tracer-7,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Enduro,,WR250F,,,,,,WR250F,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,245mm,,,,,,250.0,,,115,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/wr250f,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Enduro,,YZ450FX,,,,,,YZ450FX,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,245mm,,,,,,450.0,,,116,Fuel Injection,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz450fx,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Fun,,TT-R110E,,,,,,TT-R110E,,,,,,,,,Drum,,,Drum,,,,,,,110.0,,,72,VM16,Chain,,,,Constant mesh 4-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/tt-r110e,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Maximum Torque,,MT-07HO,,,,,,MT-07HO,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,689.0,,,184,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-07ho,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Supersport,,YZF-R7HO,,,,,,YZF-R7HO,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,689.0,,,188,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r7ho,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Supersport,,YZF-R1M,,,,,,YZF-R1M,,,,,,,,,Hydraulic dual discs,320mm,,Hydraulic single disc,220mm,,,,,,998.0,,,202,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r1m,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Maximum Torque,,MT-10,,,,,,MT-10,,,,,,,,,Hydraulic dual discs,320 mm,,Hydraulic single disc,220mm,,,,,,998.0,,,212,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-10,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Supersport,,YZF-R15M,,,,,,YZF-R15M,,,,,,,,,Hydraulic single disc,282mm,,Hydraulic single disc,220mm,,,,,,155.0,,,140,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r15m,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Maximum Torque,,MT-09,,,,,,MT-09,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,889.0,,,189,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-09,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Enduro,,WR450F,,,,,,WR450F,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,245mm,,,,,,450.0,,,119,Fuel Injection,Chain,,,,Constant mesh 5-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/wr450f,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ125,,,,,,YZ125,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,125.0,,,95,PWK38S,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz125,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Motocross,,YZ85,,,,,,YZ85,,,,,,,,,Hydraulic single disc,220mm,,Hydraulic single disc,190mm,,,,,,85.0,,,73,PWK28,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz85,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Maximum Torque,,MT-07LA,,,,,,MT-07LA,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,655.0,,,184,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-07la,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Motocross,,YZ125SP,,,,,,YZ125SP,,,,,,,,,Hydraulic single disc,270mm,,Hydraulic single disc,240mm,,,,,,125.0,,,95,PWK38S,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz125sp,https://www.yamaha-motor.com.au/products/motorcycle/off-road
Yamaha Motor,Yamaha,Maximum Torque,,MT-09SP,,,,,,MT-09SP,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,889.0,,,190,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-09sp,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Supersport,,YZF-R7LA,,,,,,YZF-R7LA,,,,,,,,,Hydraulic dual discs,298mm,,Hydraulic single disc,245mm,,,,,,655.0,,,188,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r7la,https://www.yamaha-motor.com.au/products/motorcycle/road
Yamaha Motor,Yamaha,Maximum Torque,,MT-10SP,,,,,,MT-10SP,,,,,,,,,Hydraulic dual discs,320 mm,,Hydraulic single disc,220mm,,,,,,998.0,,,214,Fuel Injection,Chain,,,,Constant mesh 6-speed,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-10sp,https://www.yamaha-motor.com.au/products/motorcycle/road
